date,time,type,topic
2025-07-24,09,news,pi coin current price
2025-07-24,15,promotional,pi network coin price
2025-07-24,20,advertisement,AiCoin — next-gen AI memecoin

2025-07-25,09,news,assemble ai
2025-07-25,15,promotional,ta coin
2025-07-25,20,advertisement,AiCoin uplink: AI-powered meme economy

2025-07-26,09,news,trusta ai
2025-07-26,15,promotional,pi coin current price
2025-07-26,20,advertisement,Your daily AI-powered coin – $Ai

2025-07-27,09,news,assemble ai
2025-07-27,15,promotional,pi network coin price
2025-07-27,20,advertisement,AI, blockchain and memes: $Ai is the future
